Interview_Year,Group,avg_log_wage_growth,post_2018,treatment_group
1997,Rest of US (Control),0.024506113254987145,0,0
1997,West Region (Treatment),0.0300478411076549,0,1
1998,Rest of US (Control),0.06520741131891784,0,0
1998,West Region (Treatment),0.07349950667622093,0,1
1999,Rest of US (Control),0.060198462767344744,0,0
1999,West Region (Treatment),0.08042556073444942,0,1
2000,Rest of US (Control),0.07149731743255355,0,0
2000,West Region (Treatment),0.06756754428942963,0,1
2001,Rest of US (Control),0.06526684160027121,0,0
2001,West Region (Treatment),0.08054504776112295,0,1
2002,Rest of US (Control),0.049967739839188834,0,0
2002,West Region (Treatment),0.0646846483271491,0,1
2003,Rest of US (Control),0.04984107537886034,0,0
2003,West Region (Treatment),0.06920956865894032,0,1
2004,Rest of US (Control),0.0642313945137707,0,0
2004,West Region (Treatment),0.05653466563427345,0,1
2005,Rest of US (Control),0.06793357623787179,0,0
2005,West Region (Treatment),0.07854484022195996,0,1
2006,Rest of US (Control),0.07016006606062294,0,0
2006,West Region (Treatment),0.08243601041621916,0,1
2007,Rest of US (Control),0.08357575199106733,0,0
2007,West Region (Treatment),0.12147352103908786,0,1
2008,Rest of US (Control),0.059873288659143604,0,0
2008,West Region (Treatment),0.051038756326374626,0,1
2009,Rest of US (Control),0.05443323418646101,0,0
2009,West Region (Treatment),0.06248450813320675,0,1
2010,Rest of US (Control),0.045130740085725984,0,0
2010,West Region (Treatment),0.022386482226375855,0,1
2011,Rest of US (Control),0.05779041164564068,0,0
2011,West Region (Treatment),0.08486808939525897,0,1
2012,Rest of US (Control),0.10137352924087557,0,0
2012,West Region (Treatment),0.08336749194304703,0,1
2013,Rest of US (Control),0.03639264365057613,0,0
2013,West Region (Treatment),0.01963927278689621,0,1
2014,Rest of US (Control),0.06648136897457246,0,0
2014,West Region (Treatment),0.0816011256460539,0,1
2015,Rest of US (Control),0.06714321711573375,0,0
2015,West Region (Treatment),0.07325692234066333,0,1
2016,Rest of US (Control),0.08810171570638008,0,0
2016,West Region (Treatment),0.10942831786816769,0,1
2017,Rest of US (Control),0.07501011459169386,0,0
2017,West Region (Treatment),0.07286634597648639,0,1
2018,Rest of US (Control),0.08404848605492808,1,0
2018,West Region (Treatment),0.10128759437702388,1,1
2019,Rest of US (Control),0.07402746183655608,1,0
2019,West Region (Treatment),0.08583797984330746,1,1
2020,Rest of US (Control),0.14414010284548912,1,0
2020,West Region (Treatment),0.15707110137683458,1,1
2021,Rest of US (Control),0.0932457938434184,1,0
2021,West Region (Treatment),0.11542838270129964,1,1
2022,Rest of US (Control),0.12451201327460856,1,0
2022,West Region (Treatment),0.14997863104489578,1,1
